symbol,company,weight,sector,shares_held
MSFT,Microsoft Corporation,0.04262629700631674,Information Technology,85841100
AAPL,Apple Inc.,0.03544460744929322,Information Technology,48965524
AMZN,Amazon.com Inc.,0.03326145064835859,Consumer Discretionary,4632684
FB,Facebook Inc. Class A,0.019432047180515964,Communication Services,26914088
BRK.B,Berkshire Hathaway Inc. Class B,0.016595492444457398,Financials,21697908
JNJ,Johnson & Johnson,0.01495187885577105,Health Care,29742706
JPM,JPMorgan Chase & Co.,0.014876916986338586,Financials,36339690
GOOG,Alphabet Inc. Class C,0.014094633902742132,Communication Services,3433223
GOOGL,Alphabet Inc. Class A,0.013769982718014646,Communication Services,3354523
XOM,Exxon Mobil Corporation,0.013191676829227079,Energy,47398000
V,Visa Inc. Class A,0.012632857421593074,Information Technology,19480548
PG,Procter & Gamble Company,0.011531550800960967,Consumer Staples,28099044
BAC,Bank of America Corp,0.01043495057608537,Financials,99057680
DIS,Walt Disney Company,0.010072898565505596,Communication Services,19555766
MA,Mastercard Incorporated Class A,0.01006527820982324,Information Technology,10079410
UNH,UnitedHealth Group Incorporated,0.009975436118913798,Health Care,10645815
CSCO,Cisco Systems Inc.,0.009858807626624201,Information Technology,47953864
T,AT&T Inc.,0.009814837873928776,Communication Services,81754370
CVX,Chevron Corporation,0.009603460622813373,Energy,21339296
PFE,Pfizer Inc.,0.009590773381486771,Health Care,62192904
HD,Home Depot Inc.,0.009465593267971511,Consumer Discretionary,12325555
VZ,Verizon Communications Inc.,0.00946163789281444,Communication Services,46329268
INTC,Intel Corporation,0.008749800541445798,Information Technology,50178250
MRK,Merck & Co. Inc.,0.008382190978430138,Health Care,28842078
KO,Coca-Cola Company,0.008030933637266363,Consumer Staples,43011324
CMCSA,Comcast Corporation Class A,0.008024745227526948,Communication Services,50739200
WFC,Wells Fargo & Company,0.007663914877122265,Financials,45312172
PEP,PepsiCo Inc.,0.007569736893952036,Consumer Staples,15703517
BA,Boeing Company,0.0075519126717252414,Industrials,5862955
NFLX,Netflix Inc.,0.006668682405955574,Communication Services,4897588
C,Citigroup Inc.,0.006655764851645144,Financials,25904668
MCD,McDonald's Corporation,0.006523595239751059,Consumer Discretionary,8548576
WMT,Walmart Inc.,0.0064048939306069995,Consumer Staples,15669878
ABT,Abbott Laboratories,0.006081744787078401,Health Care,19762712
ADBE,Adobe Inc.,0.006032828312034639,Information Technology,5466237
ORCL,Oracle Corporation,0.005850871041201441,Information Technology,27182866
PYPL,PayPal Holdings Inc,0.005697582730051004,Information Technology,13161851
MDT,Medtronic Plc,0.005388642896263879,Health Care,15018739
HON,Honeywell International Inc.,0.005105438035017688,Industrials,8152519
PM,Philip Morris International Inc.,0.005081375335011514,Consumer Staples,17428436
IBM,International Business Machines Corporation,0.005024778422637443,Information Technology,9915467
ACN,Accenture Plc Class A,0.004990762196286644,Information Technology,7145319
CRM,salesforce.com inc.,0.004959549780173767,Information Technology,8699049
COST,Costco Wholesale Corporation,0.00488826290487458,Consumer Staples,4926634
UNP,Union Pacific Corporation,0.00488640037378796,Industrials,7929510
TMO,Thermo Fisher Scientific Inc.,0.004756473810084214,Health Care,4485472
NKE,NIKE Inc. Class B,0.004459650441968113,Consumer Discretionary,14078062
LIN,Linde plc,0.004424502677914151,Materials,6080350
TXN,Texas Instruments Incorporated,0.004401451352315229,Information Technology,10510048
AVGO,Broadcom Inc.,0.0043924290915139125,Information Technology,4434603
AMGN,Amgen Inc.,0.004363700050183197,Health Care,6832637
SBUX,Starbucks Corporation,0.004336142600987612,Consumer Discretionary,13568314
UTX,United Technologies Corporation,0.004281999022571724,Industrials,9086631
ABBV,AbbVie Inc.,0.004232982411448038,Health Care,16560593
NVDA,NVIDIA Corporation,0.00407015113188067,Information Technology,6822196
NEE,NextEra Energy Inc.,0.004050013766207588,Utilities,5364940
MMM,3M Company,0.0039164422491945435,Industrials,6457374
LLY,Eli Lilly and Company,0.003813882876134523,Health Care,9679194
AMT,American Tower Corporation,0.0037176721305417996,Real Estate,4951518
MO,Altria Group Inc,0.003704293950263711,Consumer Staples,20958710
LMT,Lockheed Martin Corporation,0.003637943783704866,Industrials,2753537
DHR,Danaher Corporation,0.0036137408931867965,Health Care,7057588
QCOM,QUALCOMM Incorporated,0.0036016544683397504,Information Technology,13618512
GE,General Electric Company,0.0035437257461026664,Industrials,97692790
AXP,American Express Company,0.0035184513995293906,Financials,7704520
GILD,Gilead Sciences Inc.,0.0033913386596715607,Health Care,14280135
LOW,Lowe's Companies Inc.,0.0033000746364271727,Consumer Discretionary,8770530
BKNG,Booking Holdings Inc.,0.0032612618918479268,Consumer Discretionary,484987
USB,U.S. Bancorp,0.003216340846393206,Financials,16765107
MDLZ,Mondelez International Inc. Class A,0.0031705686442591165,Consumer Staples,16175565
ANTM,Anthem Inc.,0.003141178704800889,Health Care,2881005
CAT,Caterpillar Inc.,0.0030820183087807173,Industrials,6412309
CVS,CVS Health Corporation,0.003026853342349586,Health Care,14552663
CME,CME Group Inc. Class A,0.00296988592647979,Financials,4010167
BMY,Bristol-Myers Squibb Company,0.0029276084735351104,Health Care,18323718
INTU,Intuit Inc.,0.00289924993570012,Information Technology,2904364
UPS,United Parcel Service Inc. Class B,0.0028970369283337592,Industrials,7814145
ADP,Automatic Data Processing Inc.,0.0028899973619149746,Information Technology,4875458
GS,Goldman Sachs Group Inc.,0.0028897670489311453,Financials,3810788
CHTR,Charter Communications Inc. Class A,0.0028452465477961275,Communication Services,1932968
COP,ConocoPhillips,0.0027876282474068137,Energy,12641421
BDX,Becton Dickinson and Company,0.00277733425839044,Health Care,3021715
CB,Chubb Limited,0.0027385014865952085,Financials,5129362
TJX,TJX Companies Inc,0.0027227100267909077,Consumer Discretionary,13584816
CI,Cigna Corporation,0.002664841386201779,Health Care,4235890
SYK,Stryker Corporation,0.0026243864099117493,Health Care,3469194
CELG,Celgene Corporation,0.0026194897556033776,Health Care,7900429
DUK,Duke Energy Corporation,0.002617537102044824,Utilities,8155799
PNC,PNC Financial Services Group Inc.,0.002565386231619459,Financials,5054438
CL,Colgate-Palmolive Company,0.002545659423874074,Consumer Staples,9602157
D,Dominion Energy Inc,0.0025125344086346143,Utilities,8988208
ISRG,Intuitive Surgical Inc.,0.0024869396266055757,Health Care,1293166
BSX,Boston Scientific Corporation,0.0024146513905071295,Health Care,15578426
CSX,CSX Corporation,0.002392591412099473,Industrials,8632233
SPGI,S&P Global Inc.,0.0023683785079734107,Financials,2768385
SO,Southern Company,0.0023631914590332534,Utilities,11659557
BLK,BlackRock Inc.,0.002295359278491506,Financials,1332598
SLB,Schlumberger NV,0.002270645693965815,Energy,15446757
MS,Morgan Stanley,0.0022702551632541043,Financials,14321989
CCI,Crown Castle International Corp,0.0022426376324105645,Real Estate,4657235
NOC,Northrop Grumman Corporation,0.002217593598821118,Industrials,1902159
ZTS,Zoetis Inc. Class A,0.0021892450745941198,Health Care,5335958
NSC,Norfolk Southern Corporation,0.002154557936507817,Industrials,2980147
ILMN,Illumina Inc.,0.0021375948845683843,Health Care,1638264
EOG,EOG Resources Inc.,0.0021187893287583164,Energy,6500765
MMC,Marsh & McLennan Companies Inc.,0.0020945463838082765,Financials,5728310
DD,DuPont de Nemours Inc.,0.0020884080421088237,Materials,8375006
ICE,Intercontinental Exchange Inc.,0.0020801868699469143,Financials,6320393
AGN,Allergan plc,0.002055553394285164,Health Care,3451853
PLD,Prologis Inc.,0.0020541314619502175,Real Estate,7066262
DE,Deere & Company,0.002048373637354483,Industrials,3540265
GM,General Motors Company,0.0020374988590745394,Consumer Discretionary,14776823
ECL,Ecolab Inc.,0.002034444708636802,Materials,2841364
APD,Air Products and Chemicals Inc.,0.0020151584996430903,Materials,2465954
SPG,Simon Property Group Inc.,0.002008128946832298,Real Estate,3443176
RTN,Raytheon Company,0.0020048945514506943,Industrials,3137839
GD,General Dynamics Corporation,0.0020038331090034803,Industrials,3041885
PGR,Progressive Corporation,0.0019555675184792375,Financials,6507904
MU,Micron Technology Inc.,0.0019510313540585982,Information Technology,12506272
AIG,American International Group Inc.,0.0019446727129833086,Financials,9769325
EXC,Exelon Corporation,0.0019333573359516915,Utilities,10877043
MET,MetLife Inc.,0.0019294119744026144,Financials,10665362
SCHW,Charles Schwab Corporation,0.0019239645716546503,Financials,13253334
AON,Aon plc,0.0019008131099758016,Financials,2694153
KMB,Kimberly-Clark Corporation,0.0018988103883772855,Consumer Staples,3851098
WM,Waste Management Inc.,0.0018412321424199417,Industrials,4376735
BIIB,Biogen Inc.,0.0018200133070836613,Health Care,2190228
VRTX,Vertex Pharmaceuticals Incorporated,0.0018120424751215667,Health Care,2869353
AEP,American Electric Power Company Inc.,0.0017936875316711647,Utilities,5497861
TGT,Target Corporation,0.0017806197732408457,Consumer Discretionary,5739316
ITW,Illinois Tool Works Inc.,0.0017723184922149957,Industrials,3363269
EQIX,Equinix Inc.,0.0017697850493928727,Real Estate,941547
WBA,Walgreens Boots Alliance Inc,0.001737371000320886,Consumer Staples,8705930
LHX,L3Harris Technologies Inc,0.0017202277034375866,Industrials,2465655
AMAT,Applied Materials Inc.,0.0017178644919513375,Information Technology,10573918
COF,Capital One Financial Corporation,0.0017121567353955659,Financials,5260675
ADI,Analog Devices Inc.,0.001693080812169698,Information Technology,4142201
AFL,Aflac Incorporated,0.0016886648110449698,Financials,8350757
PSX,Phillips 66,0.0016826366190334356,Energy,4708998
FIS,Fidelity National Information Services Inc.,0.0016598656744583051,Information Technology,3619333
KMI,Kinder Morgan Inc Class P,0.001656140612285065,Energy,21701156
PRU,Prudential Financial Inc.,0.001650512964593234,Financials,4548297
EL,Estee Lauder Companies Inc. Class A,0.0016401088258889418,Consumer Staples,2456557
EW,Edwards Lifesciences Corporation,0.0016343710285091925,Health Care,2335629
TRV,Travelers Companies Inc.,0.0016105586687028338,Financials,2944835
F,Ford Motor Company,0.0016049710754429734,Consumer Discretionary,43898132
EMR,Emerson Electric Co.,0.0015898505273741752,Industrials,6906309
MAR,Marriott International Inc. Class A,0.0015763521838001754,Consumer Discretionary,3096167
ROP,Roper Technologies Inc.,0.0015759115850485016,Industrials,1154698
BAX,Baxter International Inc.,0.0015725470127629943,Health Care,5310631
FDX,FedEx Corporation,0.0015606909008997777,Industrials,2675161
BK,Bank of New York Mellon Corporation,0.001545540312007002,Financials,9868500
SRE,Sempra Energy,0.0015386609633160984,Utilities,3054650
BBT,BB&T Corporation,0.0015375093983969518,Financials,8517582
ROST,Ross Stores Inc.,0.0015322522542008461,Consumer Discretionary,4150201
ADSK,Autodesk Inc.,0.0015300893148744487,Information Technology,2460343
HUM,Humana Inc.,0.0015259036267335495,Health Care,1517844
SHW,Sherwin-Williams Company,0.001523860850703063,Materials,912976
OXY,Occidental Petroleum Corporation,0.0015117343714240467,Energy,8353238
CTSH,Cognizant Technology Solutions Corporation Class A,0.0015029824780385306,Information Technology,6415945
MPC,Marathon Petroleum Corporation,0.001492348026350409,Energy,7502407
PSA,Public Storage,0.0014919875364626759,Real Estate,1672502
HCA,HCA Healthcare Inc,0.0014798210027516894,Health Care,2974705
FISV,Fiserv Inc.,0.0014670636661691407,Information Technology,4364259
APC,Anadarko Petroleum Corporation,0.0014594533240947785,Energy,5651091
ATVI,Activision Blizzard Inc.,0.001457550738576188,Communication Services,8581213
DG,Dollar General Corporation,0.0014571101398245146,Consumer Discretionary,2893370
DAL,Delta Air Lines Inc.,0.0014404675233408441,Industrials,6673429
DOW,Dow Inc.,0.0014347297259610949,Materials,8369071
VLO,Valero Energy Corporation,0.0014248462948724169,Energy,4703546
WMB,Williams Companies Inc.,0.0013902993472980107,Energy,13496741
WELL,Welltower Inc.,0.0013862137952370375,Real Estate,4536260
ALL,Allstate Corporation,0.0013810668007288507,Financials,3731631
YUM,Yum! Brands Inc.,0.001366146524819904,Consumer Discretionary,3414892
SYY,Sysco Corporation,0.0013611297072156207,Consumer Staples,5270386
ETN,Eaton Corp. Plc,0.0013538798550289917,Industrials,4767432
MCO,Moody's Corporation,0.0013416131852380792,Financials,1854226
JCI,Johnson Controls International plc,0.001321926431924664,Industrials,8914448
STZ,Constellation Brands Inc. Class A,0.0013179510295516094,Consumer Staples,1858280
EBAY,eBay Inc.,0.0013039620191859728,Consumer Discretionary,9177469
NEM,Newmont Goldcorp Corporation,0.0012834841908411438,Materials,9106947
GIS,General Mills Inc.,0.001278136924173105,Consumer Staples,6651074
HPQ,HP Inc.,0.001277586175733513,Information Technology,17078042
XEL,Xcel Energy Inc.,0.001265810172734237,Utilities,5765560
TEL,TE Connectivity Ltd.,0.0012549854624942566,Information Technology,3773618
ORLY,O'Reilly Automotive Inc.,0.0012508198015693426,Consumer Discretionary,886009
PEG,Public Service Enterprise Group Inc,0.0012199979161681767,Utilities,5633324
IR,Ingersoll-Rand Plc,0.0012076911919452942,Industrials,2702502
XLNX,Xilinx Inc.,0.0011984286045521562,Information Technology,2821791
HLT,Hilton Worldwide Holdings Inc,0.001188264792439686,Consumer Discretionary,3288790
AVB,AvalonBay Communities Inc.,0.0011846198391303863,Real Estate,1561812
AMD,Advanced Micro Devices Inc.,0.001178501524646919,Information Technology,9935289
ED,Consolidated Edison Inc.,0.001173194312410851,Utilities,3664087
EQR,Equity Residential,0.0011730040538589918,Real Estate,4123217
OKE,ONEOK Inc.,0.0011697996993013655,Energy,4588192
APH,Amphenol Corporation Class A,0.0011634210310100912,Information Technology,3346317
STI,SunTrust Banks Inc.,0.0011467283464864579,Financials,4939819
VFC,V.F. Corporation,0.0011413710662104266,Consumer Discretionary,3620254
AZO,AutoZone Inc.,0.0011335304111522353,Consumer Discretionary,274981
MSI,Motorola Solutions Inc.,0.0011330898124005619,Information Technology,1846051
EA,Electronic Arts Inc.,0.0011284835527239742,Communication Services,3364202
LRCX,Lam Research Corporation,0.0011275623007886567,Information Technology,1699736
PPG,PPG Industries Inc.,0.0011103889630813795,Materials,2667901
MCK,McKesson Corporation,0.0011027185393590621,Health Care,2136966
PAYX,Paychex Inc.,0.0010919438971590443,Information Technology,3566594
WEC,WEC Energy Group Inc,0.00108618607256331,Utilities,3515218
ALXN,Alexion Pharmaceuticals Inc.,0.001085685392163681,Health Care,2490687
TWTR,Twitter Inc.,0.0010840631876688827,Communication Services,8119860
SBAC,SBA Communications Corp. Class A,0.0010667897138816795,Real Estate,1264249
DFS,Discover Financial Services,0.0010576673170004378,Financials,3657806
DLTR,Dollar Tree Inc.,0.0010561252213695802,Consumer Discretionary,2652552
TROW,T. Rowe Price Group,0.0010481543894074853,Financials,2672258
LYB,LyondellBasell Industries NV,0.001033184045458576,Materials,3390940
VTR,Ventas Inc.,0.0010310912013881265,Real Estate,4138464
LUV,Southwest Airlines Co.,0.0010306506026364528,Industrials,5541160
GPN,Global Payments Inc.,0.0010297193370931428,Information Technology,1748583
GLW,Corning Inc,0.001023971526105401,Information Technology,8767818
FLT,FleetCor Technologies Inc.,0.0010231704374659945,Information Technology,971979
MNST,Monster Beverage Corporation,0.00101892466767714,Consumer Staples,4382493
IQV,IQVIA Holdings Inc,0.0010145987890243446,Health Care,1775804
WLTW,Willis Towers Watson Public Limited Company,0.001013347088025272,Financials,1438770
ES,Eversource Energy,0.0010075091545655968,Utilities,3597274
DLR,Digital Realty Trust Inc.,0.00100604716779868,Real Estate,2316740
CERN,Cerner Corporation,9.907864292179858e-4,Health Care,3626310
ZBH,Zimmer Biomet Holdings Inc.,9.893344560590615e-4,Health Care,2278822
VRSK,Verisk Analytics Inc,9.850286046222513e-4,Industrials,1815846
PCAR,PACCAR Inc,9.7932084806648e-4,Industrials,3856289
IDXX,IDEXX Laboratories Inc.,9.774483033718672e-4,Health Care,954336
CMI,Cummins Inc.,9.769776637962159e-4,Industrials,1612541
PXD,Pioneer Natural Resources Company,9.708893901367264e-4,Energy,1867996
BLL,Ball Corporation,9.707692268408155e-4,Materials,3802731
TSN,Tyson Foods Inc. Class A,9.648712117331849e-4,Consumer Staples,3302482
MTB,M&T Bank Corporation,9.621074559272323e-4,Financials,1543127
DTE,DTE Energy Company,9.589131149775989e-4,Utilities,2030534
TDG,TransDigm Group Incorporated,9.578216317064074e-4,Industrials,542340
INFO,IHS Markit Ltd.,9.506518883837192e-4,Industrials,4051324
FTV,Fortive Corp.,9.446537371961628e-4,Industrials,3303457
ADM,Archer-Daniels-Midland Company,9.358217349467058e-4,Consumer Staples,6250251
VRSN,VeriSign Inc.,9.286720188400028e-4,Information Technology,1184098
REGN,Regeneron Pharmaceuticals Inc.,9.146129132184182e-4,Health Care,873528
EIX,Edison International,9.113584906208291e-4,Utilities,3631248
A,Agilent Technologies Inc.,9.110781095970369e-4,Health Care,3539557
SYF,Synchrony Financial,9.084245034790028e-4,Financials,7104044
O,Realty Income Corporation,8.941150576576037e-4,Real Estate,3526733
PPL,PPL Corporation,8.836107828733859e-4,Utilities,8085053
CNC,Centene Corporation,8.793650130845313e-4,Health Care,4605176
FE,FirstEnergy Corp.,8.782034345573918e-4,Utilities,5615145
TSS,Total System Services Inc.,8.76090563270957e-4,Information Technology,1848974
SWK,Stanley Black & Decker Inc.,8.743481954802479e-4,Industrials,1692291
PH,Parker-Hannifin Corporation,8.538403263114409e-4,Industrials,1456215
MCHP,Microchip Technology Incorporated,8.504356995939632e-4,Information Technology,2641542
AWK,American Water Works Company Inc.,8.500852233142229e-4,Utilities,2016920
